任务ID(末3位是任务的id，前面位表示归属的目标id，1001001即目标id=1001、任务id=1),归属目标(SurviveObjectiveDef的ID),名称,描述(加上@1会显示任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(使用@item_道具id#添加道具文本，默认颜色#cfa7a0f),任务完成事件类型【1自动完成，2破坏方块，3获得道具，4加工道具，5冶炼道具，6道具损坏，7使用道具，8击败生物，9繁殖生物，10驯服生物，11玩家死亡，12（未用），13设置复活点，14抵达生态，15生存时间，16跳过夜晚，17方块交互(手持GoalID1:item点GoalID2:item，GoalID1=0为直接点击方块，GoalID2=0为放置方块)，18符文镶嵌(消耗指定符文石道具)，19修复道具，20烹饪道具，21施肥，22生物交互(手持GoalID1:item点GoalID2:monster，GoalID1=0为直接点击生物，不允许GoalID2=0)，23NPC交易，24游戏开始完成，25抵达星球，26编书，27钓鱼，28拆书，29符文镶嵌(消耗指定副材料道具)，30（未用），31符文镶嵌(获得指定效果类型EnchantType)，32种植，33放置方块（A放在B顶面），34穿戴装备】,任务完成对象(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),任务完成对象交互对象(17、22类型的任务需要配置Goal ID1和Goal ID2，使用1去交互2),任务完成对象所需数值,X轴(在任务展示框中的横轴坐标),Y轴(在任务展示框中的纵轴坐标),前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,前置任务ID5,自动跟踪下个任务ID,任务奖励类型(0道具，1星星),任务奖励(奖励为星星则不填或填0),奖励数量,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),旧版成就ID(对应achievement.csv)
2007005,2007,烤嘟嘟鸟肉Ⅱ,在@item_1200#上将@item_12518#烤制成@item_12519#@1,烤@item_12518#@1,20,I_12519,,50,2,2,,,,,,2007006,0,12518,15,2,12518,,1116
2007006,2007,烤嘟嘟鸟肉Ⅲ,在@item_1200#上将@item_12518#烤制成@item_12519#@1,烤@item_12518#@1,20,I_12519,,100,3,2,,,,,,2007007,0,12518,25,2,12518,,1117
2007007,2007,烤角鹿肉Ⅰ,在@item_1200#上将@item_12530#烤制成@item_12531#@1,烤@item_12530#@1,20,I_12531,,5,1,3,,,,,,2007008,0,12530,3,2,12530,,1119
2007008,2007,烤角鹿肉Ⅱ,在@item_1200#上将@item_12530#烤制成@item_12531#@1,烤@item_12530#@1,20,I_12531,,50,2,3,,,,,,2007009,0,12530,15,2,12530,,1119
2007009,2007,烤角鹿肉Ⅲ,在@item_1200#上将@item_12530#烤制成@item_12531#@1,烤@item_12530#@1,20,I_12531,,100,3,3,,,,,,2007010,0,12530,25,2,12530,,1120
2007010,2007,烤墩墩肉Ⅰ,在@item_1200#上将@item_12522#烤制成@item_12523#@1,烤@item_12522#@1,20,I_12523,,5,1,4,,,,,,2007011,0,12522,3,2,12522,,1110
2007011,2007,烤墩墩肉Ⅱ,在@item_1200#上将@item_12522#烤制成@item_12523#@1,烤@item_12522#@1,20,I_12523,,50,2,4,,,,,,2007012,0,12522,15,2,12522,,1110
2007012,2007,烤墩墩肉Ⅲ,在@item_1200#上将@item_12522#烤制成@item_12523#@1,烤@item_12522#@1,20,I_12523,,100,3,4,,,,,,2007013,0,12522,25,2,12522,,1111
2007013,2007,烤鸵鸟腿Ⅰ,在@item_1200#上将@item_12607#烤制成@item_12608#@1,烤@item_12607#@1,20,I_12608,,5,5,1,,,,,,2007014,0,12607,3,2,12607,,
2007014,2007,烤鸵鸟腿Ⅱ,在@item_1200#上将@item_12607#烤制成@item_12608#@1,烤@item_12607#@1,20,I_12608,,50,6,1,,,,,,2007015,0,12607,15,2,12607,,
2007015,2007,烤鸵鸟腿Ⅲ,在@item_1200#上将@item_12607#烤制成@item_12608#@1,烤@item_12607#@1,20,I_12608,,100,7,1,,,,,,2007016,0,12607,25,2,12607,,
2007016,2007,烤呆呆鱼Ⅰ,在@item_1200#上将@item_12520#烤制成@item_12521#@1,烤@item_12520#@1,20,I_12521,,5,5,2,,,,,,2007017,0,12520,3,2,12520,,
2007017,2007,烤呆呆鱼Ⅱ,在@item_1200#上将@item_12520#烤制成@item_12521#@1,烤@item_12520#@1,20,I_12521,,50,6,2,,,,,,2007018,0,12520,15,2,12520,,
2007018,2007,烤呆呆鱼Ⅲ,在@item_1200#上将@item_12520#烤制成@item_12521#@1,烤@item_12520#@1,20,I_12521,,100,7,2,,,,,,2007019,0,12520,25,2,12520,,1136
2007019,2007,烤丑丑鱼Ⅰ,在@item_1200#上将@item_12703#烤制成@item_12705#@1,烤@item_12703#@1,20,I_12705,,5,5,3,,,,,,2007020,0,12703,3,2,12703,,
2007020,2007,烤丑丑鱼Ⅱ,在@item_1200#上将@item_12703#烤制成@item_12705#@1,烤@item_12703#@1,20,I_12705,,50,6,3,,,,,,2007021,0,12703,15,2,12703,,
2007021,2007,烤丑丑鱼Ⅲ,在@item_1200#上将@item_12703#烤制成@item_12705#@1,烤@item_12703#@1,20,I_12705,,100,7,3,,,,,,2007022,0,12703,25,2,12703,,
2007022,2007,烤奇奇鱼Ⅰ,在@item_1200#上将@item_12704#烤制成@item_12706#@1,烤@item_12704#@1,20,I_12706,,5,5,4,,,,,,2007023,0,12704,3,2,12704,,
2007023,2007,烤奇奇鱼Ⅱ,在@item_1200#上将@item_12704#烤制成@item_12706#@1,烤@item_12704#@1,20,I_12706,,50,6,4,,,,,,2007024,0,12704,15,2,12704,,
2007024,2007,烤奇奇鱼Ⅲ,在@item_1200#上将@item_12704#烤制成@item_12706#@1,烤@item_12704#@1,20,I_12706,,100,7,4,,,,,,2010001,0,12704,25,2,12704,,
2008001,2008,笋尖串串香Ⅰ,在@item_200108#中烹饪@item_11229#@1,烹饪@item_11229#@1,20,I_11229,,5,1,1,,,,,,2008002,0,226,5,2,11229,,
2008002,2008,笋尖串串香Ⅱ,在@item_200108#中烹饪@item_11229#@1,烹饪@item_11229#@1,20,I_11229,,50,2,1,,,,,,2008003,0,226,15,2,11229,,
2008003,2008,笋尖串串香Ⅲ,在@item_200108#中烹饪@item_11229#@1,烹饪@item_11229#@1,20,I_11229,,100,3,1,,,,,,2008004,1,0,1,2,11229,,
2008004,2008,面条Ⅰ,在@item_200108#中烹饪@item_12502#@1,烹饪@item_12502#@1,20,I_12502,,5,5,1,,,,,,2008005,0,344,5,2,12502,,
2008005,2008,面条Ⅱ,在@item_200108#中烹饪@item_12502#@1,烹饪@item_12502#@1,20,I_12502,,50,6,1,,,,,,2008006,0,344,15,2,12502,,
2008006,2008,面条Ⅲ,在@item_200108#中烹饪@item_12502#@1,烹饪@item_12502#@1,20,I_12502,,100,7,1,,,,,,2008007,1,0,1,2,12502,,
2008007,2008,玉米点心Ⅰ,在@item_200108#中烹饪@item_12507#@1,烹饪@item_12507#@1,20,I_12507,,5,9,1,,,,,,2008008,0,226,5,2,12507,,
2008008,2008,玉米点心Ⅱ,在@item_200108#中烹饪@item_12507#@1,烹饪@item_12507#@1,20,I_12507,,50,10,1,,,,,,2008009,0,226,15,2,12507,,
2008009,2008,玉米点心Ⅲ,在@item_200108#中烹饪@item_12507#@1,烹饪@item_12507#@1,20,I_12507,,100,11,1,,,,,,2008010,1,0,1,2,12507,,
2008010,2008,嘟嘟鸟炖土笋Ⅰ,在@item_200108#中烹饪@item_12510#@1,烹饪@item_12510#@1,20,I_12510,,5,1,2,,,,,,2008011,0,12602,5,2,12510,,
2008011,2008,嘟嘟鸟炖土笋Ⅱ,在@item_200108#中烹饪@item_12510#@1,烹饪@item_12510#@1,20,I_12510,,50,2,2,,,,,,2008012,0,12602,15,2,12510,,
2008012,2008,嘟嘟鸟炖土笋Ⅲ,在@item_200108#中烹饪@item_12510#@1,烹饪@item_12510#@1,20,I_12510,,100,3,2,,,,,,2008013,1,0,1,2,12510,,
2008013,2008,番薯泥Ⅰ,在@item_200108#中烹饪@item_12512#@1,烹饪@item_12512#@1,20,I_12512,,5,5,2,,,,,,2008014,0,241,5,2,12512,,
2008014,2008,番薯泥Ⅱ,在@item_200108#中烹饪@item_12512#@1,烹饪@item_12512#@1,20,I_12512,,50,6,2,,,,,,2008015,0,241,15,2,12512,,
2008015,2008,番薯泥Ⅲ,在@item_200108#中烹饪@item_12512#@1,烹饪@item_12512#@1,20,I_12512,,100,7,2,,,,,,2008016,1,0,1,2,12512,,
2008016,2008,熟米饭Ⅰ,在@item_200108#中烹饪@item_12529#@1,烹饪@item_12529#@1,20,I_12529,,5,9,2,,,,,,2008017,0,234,5,2,12529,,
2008017,2008,熟米饭Ⅱ,在@item_200108#中烹饪@item_12529#@1,烹饪@item_12529#@1,20,I_12529,,50,10,2,,,,,,2008018,0,234,15,2,12529,,
2008018,2008,熟米饭Ⅲ,在@item_200108#中烹饪@item_12529#@1,烹饪@item_12529#@1,20,I_12529,,100,11,2,,,,,,2008019,1,0,1,2,12529,,
2008019,2008,煎鸵鸟蛋Ⅰ,在@item_200108#中烹饪@item_12609#@1,烹饪@item_12609#@1,20,I_12609,,5,1,3,,,,,,2008020,0,462,5,2,12609,,
2008020,2008,煎鸵鸟蛋Ⅱ,在@item_200108#中烹饪@item_12609#@1,烹饪@item_12609#@1,20,I_12609,,50,2,3,,,,,,2008021,0,462,15,2,12609,,
2008021,2008,煎鸵鸟蛋Ⅲ,在@item_200108#中烹饪@item_12609#@1,烹饪@item_12609#@1,20,I_12609,,100,3,3,,,,,,2008022,1,0,1,2,12609,,
2008022,2008,煎蛋面条Ⅰ,在@item_200108#中烹饪@item_12540#@1,烹饪@item_12540#@1,20,I_12540,,5,5,3,,,,,,2008023,0,12052,5,2,12540,,
2008023,2008,煎蛋面条Ⅱ,在@item_200108#中烹饪@item_12540#@1,烹饪@item_12540#@1,20,I_12540,,50,6,3,,,,,,2008024,0,12052,15,2,12540,,
2008024,2008,煎蛋面条Ⅲ,在@item_200108#中烹饪@item_12540#@1,烹饪@item_12540#@1,20,I_12540,,100,7,3,,,,,,2008025,1,0,1,2,12540,,
2008025,2008,烤薯条Ⅰ,在@item_200108#中烹饪@item_12541#@1,烹饪@item_12541#@1,20,I_12541,,5,9,3,,,,,,2008026,0,303,5,2,12541,,
2008026,2008,烤薯条Ⅱ,在@item_200108#中烹饪@item_12541#@1,烹饪@item_12541#@1,20,I_12541,,50,10,3,,,,,,2008027,0,303,15,2,12541,,
2008027,2008,烤薯条Ⅲ,在@item_200108#中烹饪@item_12541#@1,烹饪@item_12541#@1,20,I_12541,,100,11,3,,,,,,2008028,1,0,1,2,12541,,
2008028,2008,蔬菜煲Ⅰ,在@item_200108#中烹饪@item_12542#@1,烹饪@item_12542#@1,20,I_12542,,5,1,4,,,,,,2008029,0,305,5,2,12542,,
2008029,2008,蔬菜煲Ⅱ,在@item_200108#中烹饪@item_12542#@1,烹饪@item_12542#@1,20,I_12542,,50,2,4,,,,,,2008030,0,305,15,2,12542,,
2008030,2008,蔬菜煲Ⅲ,在@item_200108#中烹饪@item_12542#@1,烹饪@item_12542#@1,20,I_12542,,100,3,4,,,,,,2008031,1,0,1,2,12542,,
2008031,2008,烤嘟嘟鸟全家桶Ⅰ,在@item_200108#中烹饪@item_12543#@1,烹饪@item_12543#@1,20,I_12543,,5,5,4,,,,,,2008032,0,12519,5,2,12543,,
2008032,2008,烤嘟嘟鸟全家桶Ⅱ,在@item_200108#中烹饪@item_12543#@1,烹饪@item_12543#@1,20,I_12543,,50,6,4,,,,,,2008033,0,12519,15,2,12543,,
2008033,2008,烤嘟嘟鸟全家桶Ⅲ,在@item_200108#中烹饪@item_12543#@1,烹饪@item_12543#@1,20,I_12543,,100,7,4,,,,,,2008034,1,0,1,2,12543,,
2008034,2008,烤肉面条Ⅰ,在@item_200108#中烹饪@item_12544#@1,烹饪@item_12544#@1,20,I_12544,,5,9,4,,,,,,2008035,0,12517,5,2,12544,,
2008035,2008,烤肉面条Ⅱ,在@item_200108#中烹饪@item_12544#@1,烹饪@item_12544#@1,20,I_12544,,50,10,4,,,,,,2008036,0,12517,15,2,12544,,
2008036,2008,烤肉面条Ⅲ,在@item_200108#中烹饪@item_12544#@1,烹饪@item_12544#@1,20,I_12544,,100,11,4,,,,,,2008037,1,0,1,2,12544,,
2008037,2008,角鹿肉煲Ⅰ,在@item_200108#中烹饪@item_12545#@1,烹饪@item_12545#@1,20,I_12545,,5,1,5,,,,,,2008038,0,12531,5,2,12545,,
2008038,2008,角鹿肉煲Ⅱ,在@item_200108#中烹饪@item_12545#@1,烹饪@item_12545#@1,20,I_12545,,50,2,5,,,,,,2008039,0,12531,15,2,12545,,
2008039,2008,角鹿肉煲Ⅲ,在@item_200108#中烹饪@item_12545#@1,烹饪@item_12545#@1,20,I_12545,,100,3,5,,,,,,2008040,1,0,1,2,12545,,
2008040,2008,火腿Ⅰ,在@item_200108#中烹饪@item_12546#@1,烹饪@item_12546#@1,20,I_12546,,5,5,5,,,,,,2008041,0,12523,5,2,12546,,
2008041,2008,火腿Ⅱ,在@item_200108#中烹饪@item_12546#@1,烹饪@item_12546#@1,20,I_12546,,50,6,5,,,,,,2008042,0,12523,15,2,12546,,
2008042,2008,火腿Ⅲ,在@item_200108#中烹饪@item_12546#@1,烹饪@item_12546#@1,20,I_12546,,100,7,5,,,,,,2008043,1,0,1,2,12546,,
2008043,2008,浓缩奶糖Ⅰ,在@item_200108#中烹饪@item_12549#@1,烹饪@item_12549#@1,20,I_12549,,5,9,5,,,,,,2008044,0,12509,3,2,12549,,
2008044,2008,浓缩奶糖Ⅱ,在@item_200108#中烹饪@item_12549#@1,烹饪@item_12549#@1,20,I_12549,,50,10,5,,,,,,2008045,0,12509,12,2,12549,,
2008045,2008,浓缩奶糖Ⅲ,在@item_200108#中烹饪@item_12549#@1,烹饪@item_12549#@1,20,I_12549,,100,11,5,,,,,,2009001,1,0,1,2,12549,,
2009001,2009,厨师的进阶,加工@item_200109#@1#r(需要将@item_200109#放置在点燃的@item_1200#上才能烹饪更美味的食物),加工@item_200109#@1,4,I_200109,,1,1,1,,,,,,2009002,0,11209,3,2,200109,,
2009002,2009,烤肉披萨Ⅰ,在@item_200109#中烹饪@item_830#@1,烹饪@item_830#@1,20,I_830,,5,1,2,,,,,,2009003,0,12518,5,2,830,,
2009003,2009,烤肉披萨Ⅱ,在@item_200109#中烹饪@item_830#@1,烹饪@item_830#@1,20,I_830,,50,2,2,,,,,,2009004,0,12518,15,2,830,,
2009004,2009,烤肉披萨Ⅲ,在@item_200109#中烹饪@item_830#@1,烹饪@item_830#@1,20,I_830,,100,3,2,,,,,,2009005,1,0,1,2,830,,
2009005,2009,蔬果披萨Ⅰ,在@item_200109#中烹饪@item_831#@1,烹饪@item_831#@1,20,I_831,,5,5,2,,,,,,2009006,0,12601,5,2,831,,
2009006,2009,蔬果披萨Ⅱ,在@item_200109#中烹饪@item_831#@1,烹饪@item_831#@1,20,I_831,,50,6,2,,,,,,2009007,0,12601,15,2,831,,
2009007,2009,蔬果披萨Ⅲ,在@item_200109#中烹饪@item_831#@1,烹饪@item_831#@1,20,I_831,,100,7,2,,,,,,2009008,1,0,1,2,831,,
2009008,2009,巨布鲁果条Ⅰ,在@item_200109#中烹饪@item_12515#@1,烹饪@item_12515#@1,20,I_12515,,5,9,2,,,,,,2009009,0,230,5,2,12515,,
2009009,2009,巨布鲁果条Ⅱ,在@item_200109#中烹饪@item_12515#@1,烹饪@item_12515#@1,20,I_12515,,50,10,2,,,,,,2009010,0,230,15,2,12515,,
2009010,2009,巨布鲁果条Ⅲ,在@item_200109#中烹饪@item_12515#@1,烹饪@item_12515#@1,20,I_12515,,100,11,2,,,,,,2009011,1,0,1,2,12515,,
2009011,2009,异味火腿Ⅰ,在@item_200109#中烹饪@item_12547#@1,烹饪@item_12547#@1,20,I_12547,,5,1,3,,,,,,2009012,0,311,5,2,12547,,
2009012,2009,异味火腿Ⅱ,在@item_200109#中烹饪@item_12547#@1,烹饪@item_12547#@1,20,I_12547,,50,2,3,,,,,,2009013,0,311,15,2,12547,,
2009013,2009,异味火腿Ⅲ,在@item_200109#中烹饪@item_12547#@1,烹饪@item_12547#@1,20,I_12547,,100,3,3,,,,,,2009014,1,0,1,2,12547,,
2009014,2009,‘蟹棒’火腿Ⅰ,在@item_200109#中烹饪@item_12548#@1,烹饪@item_12548#@1,20,I_12548,,5,5,3,,,,,,2009015,0,12581,5,2,12548,,
2009015,2009,‘蟹棒’火腿Ⅱ,在@item_200109#中烹饪@item_12548#@1,烹饪@item_12548#@1,20,I_12548,,50,6,3,,,,,,2009016,0,12581,15,2,12548,,
2009016,2009,‘蟹棒’火腿Ⅲ,在@item_200109#中烹饪@item_12548#@1,烹饪@item_12548#@1,20,I_12548,,100,7,3,,,,,,2009017,1,0,1,2,12548,,
2009017,2009,香溢煎蛋面条Ⅰ,在@item_200109#中烹饪@item_12550#@1,烹饪@item_12550#@1,20,I_12550,,5,9,3,,,,,,2009018,0,308,5,2,12550,,
2009018,2009,香溢煎蛋面条Ⅱ,在@item_200109#中烹饪@item_12550#@1,烹饪@item_12550#@1,20,I_12550,,50,10,3,,,,,,2009019,0,308,15,2,12550,,
2009019,2009,香溢煎蛋面条Ⅲ,在@item_200109#中烹饪@item_12550#@1,烹饪@item_12550#@1,20,I_12550,,100,11,3,,,,,,2009020,1,0,1,2,12550,,
2009020,2009,香溢薯条Ⅰ,在@item_200109#中烹饪@item_12551#@1,烹饪@item_12551#@1,20,I_12551,,5,1,4,,,,,,2009021,0,308,5,2,12551,,
2009021,2009,香溢薯条Ⅱ,在@item_200109#中烹饪@item_12551#@1,烹饪@item_12551#@1,20,I_12551,,50,2,4,,,,,,2009022,0,308,15,2,12551,,
2009022,2009,香溢薯条Ⅲ,在@item_200109#中烹饪@item_12551#@1,烹饪@item_12551#@1,20,I_12551,,100,3,4,,,,,,2009023,1,0,1,2,12551,,
2009023,2009,香溢巨布鲁果派Ⅰ,在@item_200109#中烹饪@item_12552#@1,烹饪@item_12552#@1,20,I_12552,,5,5,4,,,,,,2009024,0,308,5,2,12552,,
2009024,2009,香溢巨布鲁果派Ⅱ,在@item_200109#中烹饪@item_12552#@1,烹饪@item_12552#@1,20,I_12552,,50,6,4,,,,,,2009025,0,308,15,2,12552,,
2009025,2009,香溢巨布鲁果派Ⅲ,在@item_200109#中烹饪@item_12552#@1,烹饪@item_12552#@1,20,I_12552,,100,7,4,,,,,,2009026,1,0,1,2,12552,,
2009026,2009,香溢玉米点心Ⅰ,在@item_200109#中烹饪@item_12553#@1,烹饪@item_12553#@1,20,I_12553,,5,9,4,,,,,,2009027,0,308,5,2,12553,,
2009027,2009,香溢玉米点心Ⅱ,在@item_200109#中烹饪@item_12553#@1,烹饪@item_12553#@1,20,I_12553,,50,10,4,,,,,,2009028,0,308,15,2,12553,,
2009028,2009,香溢玉米点心Ⅲ,在@item_200109#中烹饪@item_12553#@1,烹饪@item_12553#@1,20,I_12553,,100,11,4,,,,,,2009029,1,0,1,2,12553,,
2009029,2009,香溢蔬菜煲Ⅰ,在@item_200109#中烹饪@item_12554#@1,烹饪@item_12554#@1,20,I_12554,,5,1,5,,,,,,2009030,0,308,5,2,12554,,
2009030,2009,香溢蔬菜煲Ⅱ,在@item_200109#中烹饪@item_12554#@1,烹饪@item_12554#@1,20,I_12554,,50,2,5,,,,,,2009031,0,308,15,2,12554,,
2009031,2009,香溢蔬菜煲Ⅲ,在@item_200109#中烹饪@item_12554#@1,烹饪@item_12554#@1,20,I_12554,,100,3,5,,,,,,2009032,1,0,1,2,12554,,
2009032,2009,香溢烤嘟嘟鸟Ⅰ,在@item_200109#中烹饪@item_12558#@1,烹饪@item_12558#@1,20,I_12558,,5,5,5,,,,,,2009033,0,307,5,2,12558,,
2009033,2009,香溢烤嘟嘟鸟Ⅱ,在@item_200109#中烹饪@item_12558#@1,烹饪@item_12558#@1,20,I_12558,,50,6,5,,,,,,2009034,0,307,15,2,12558,,
2009034,2009,香溢烤嘟嘟鸟Ⅲ,在@item_200109#中烹饪@item_12558#@1,烹饪@item_12558#@1,20,I_12558,,100,7,5,,,,,,2009035,1,0,1,2,12558,,
2009035,2009,香溢烤肉面条Ⅰ,在@item_200109#中烹饪@item_12559#@1,烹饪@item_12559#@1,20,I_12559,,5,9,5,,,,,,2009036,0,307,5,2,12559,,
2009036,2009,香溢烤肉面条Ⅱ,在@item_200109#中烹饪@item_12559#@1,烹饪@item_12559#@1,20,I_12559,,50,10,5,,,,,,2009037,0,307,15,2,12559,,
2009037,2009,香溢烤肉面条Ⅲ,在@item_200109#中烹饪@item_12559#@1,烹饪@item_12559#@1,20,I_12559,,100,11,5,,,,,,2009038,1,0,1,2,12559,,
2009038,2009,香溢角鹿煲Ⅰ,在@item_200109#中烹饪@item_12560#@1,烹饪@item_12560#@1,20,I_12560,,5,1,6,,,,,,2009039,0,307,5,2,12560,,
2009039,2009,香溢角鹿煲Ⅱ,在@item_200109#中烹饪@item_12560#@1,烹饪@item_12560#@1,20,I_12560,,50,2,6,,,,,,2009040,0,307,15,2,12560,,
2009040,2009,香溢角鹿煲Ⅲ,在@item_200109#中烹饪@item_12560#@1,烹饪@item_12560#@1,20,I_12560,,100,3,6,,,,,,2009041,1,0,1,2,12560,,
2009041,2009,香溢火腿Ⅰ,在@item_200109#中烹饪@item_12561#@1,烹饪@item_12561#@1,20,I_12561,,5,5,6,,,,,,2009042,0,307,5,2,12561,,
2009042,2009,香溢火腿Ⅱ,在@item_200109#中烹饪@item_12561#@1,烹饪@item_12561#@1,20,I_12561,,50,6,6,,,,,,2009043,0,307,15,2,12561,,
2009043,2009,香溢火腿Ⅲ,在@item_200109#中烹饪@item_12561#@1,烹饪@item_12561#@1,20,I_12561,,100,7,6,,,,,,2009044,1,0,1,2,12561,,
2009044,2009,香溢异味腿Ⅰ,在@item_200109#中烹饪@item_12562#@1,烹饪@item_12562#@1,20,I_12562,,5,9,6,,,,,,2009045,0,307,5,2,12562,,
2009045,2009,香溢异味腿Ⅱ,在@item_200109#中烹饪@item_12562#@1,烹饪@item_12562#@1,20,I_12562,,50,10,6,,,,,,2009046,0,307,15,2,12562,,
2009046,2009,香溢异味腿Ⅲ,在@item_200109#中烹饪@item_12562#@1,烹饪@item_12562#@1,20,I_12562,,100,11,6,,,,,,2009047,1,0,1,2,12562,,
2009047,2009,香溢‘蟹棒’腿Ⅰ,在@item_200109#中烹饪@item_12563#@1,烹饪@item_12563#@1,20,I_12563,,5,1,7,,,,,,2009048,0,307,5,2,12563,,
2009048,2009,香溢‘蟹棒’腿Ⅱ,在@item_200109#中烹饪@item_12563#@1,烹饪@item_12563#@1,20,I_12563,,50,2,7,,,,,,2009049,0,307,15,2,12563,,
2009049,2009,香溢‘蟹棒’腿Ⅲ,在@item_200109#中烹饪@item_12563#@1,烹饪@item_12563#@1,20,I_12563,,100,3,7,,,,,,2010001,1,0,1,2,12563,,
2010001,2010,二胡,加工并演奏@item_11900#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11900#@1,7,I_11900,,1,1,1,,,,,,2010002,0,11329,3,2,11900,2010001,
2010002,2010,唢呐,加工并演奏@item_11906#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11906#@1,7,I_11906,,1,2,1,,,,,,2010003,0,11329,3,2,11906,2010002,
2010003,2010,琵琶,加工并演奏@item_11907#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11907#@1,7,I_11907,,1,3,1,,,,,,2010004,0,11329,3,2,11907,2010003,
2010004,2010,笛子,加工并演奏@item_11908#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11908#@1,7,I_11908,,1,4,1,,,,,,2010005,0,11329,3,2,11908,2010004,
2010005,2010,鼓,加工并演奏@item_11909#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11909#@1,7,I_11909,,1,5,1,,,,,,2010006,0,11329,3,2,11909,2010005,
2010006,2010,古筝,加工并演奏@item_11905#@1#r(PC端长按右键，移动端长按使用按钮可进行演奏),演奏@item_11905#@1,7,I_11905,,1,6,1,,,,,,2010007,0,11329,3,2,11905,2010006,
2010007,2010,皮革卷轴,加工@item_11806#@1#r(@item_11806#可以记录文字),加工@item_11806#@1,4,I_11806,,2,1,2,,,,,,2010008,0,11806,3,2,11806,,
2010008,2010,编书台,加工@item_1143#@1#r(可以用来将单页的文字信息装订成册),加工@item_1143#@1,4,I_1143,,1,2,2,2010007,,,,,2010009,0,11806,3,2,1143,2010008,
2010009,2010,写书,使用@item_1143#编书@1#r(在@item_1143#中可以把写有文字的@item_11806#封装成册),使用@item_1143#编书@1,26,,,1,3,2,2010008,,,,,2010010,0,11806,3,2,11803,2010009,
2010010,2010,拆书,使用@item_1143#拆书@1#r(在@item_1143#中可以把书本拆成散页),使用@item_1143#拆书@1,28,,,1,3,3,2010008,,,,,2010011,0,11806,3,2,11804,2010010,
2010011,2010,五颜六色,加工@item_498#@1#r(将颜料瓶倒入@item_498#就可以进行调色了),加工@item_498#@1,4,I_498,,1,1,5,,,,,,2010012,0,11320,3,2,498,2010011,
2010012,2010,鹅毛黄,用@item_378#和@item_11320#加工@item_11504#@1,加工@item_11504#@1,4,I_11504,,2,2,4,2010011,,,,,2010013,0,11504,3,2,11504,,
2010013,2010,赫赤红,用@item_12500#和@item_11320#加工@item_11514#@1,加工@item_11514#@1,4,I_11514,,2,2,5,2010011,,,,,2010014,0,11514,3,2,11514,,
2010014,2010,宝石蓝,用@item_12583#和@item_11320#加工@item_11532#@1,加工@item_11532#@1,4,I_11532,,2,2,6,2010011,,,,,2010015,0,11532,3,2,11532,,
2010015,2010,颜料调和Ⅰ,将@item_11504#和@item_11514#倒在@item_498#上混合后，用@item_11320#收集获得@item_11501#@1#r(再尝试下其他颜色的混合吧！),混合颜料后收集@item_11501#@1,3,I_11501,,1,3,4,2010012,,,,,2010016,0,11504,3,2,11501,2010015,
2010016,2010,颜料调和Ⅱ,将@item_11504#和@item_11532#倒在@item_498#上混合后，用@item_11320#收集获得@item_11513#@1#r(再尝试下其他颜色的混合吧！),混合颜料后收集@item_11513#@1,3,I_11513,,1,3,5,2010013,,,,,2010017,0,11514,3,2,11513,2010016,
2010017,2010,颜料调和Ⅲ,将@item_11532#和@item_11514#倒在@item_498#上混合后，用@item_11320#收集获得@item_11510#@1#r(再尝试下其他颜色的混合吧！),混合颜料后收集@item_11510#@1,3,I_11510,,1,3,6,2010014,,,,,2010018,0,11532,3,2,11510,2010017,
2010018,2010,画布？,加工@item_600#@1#r(使用颜料瓶可以把@item_600#染成自己喜欢的颜色，同样可以染色的方块还有@item_666#、@item_632#等),加工@item_600#@1,4,I_600,,1,4,5,2010015,2010016,2010017,,,2011001,0,600,5,2,600,2010018,
2011001,2011,普通的鱼竿,加工@item_12721#@1#r(用鱼竿可以钓起活鱼，把握好咬钩的时机喔),加工@item_12721#@1,4,I_12721,,1,1,2,,,,,,2011002,0,251,5,2,12721,2011001,
2011002,2011,角珊瑚鱼竿,加工@item_12722#@1#r(海边渔村有一个头顶皇冠的钓鱼高手，从他那才能获得@item_11937#),加工@item_12722#@1,4,I_12722,,1,2,1,2011001,,,,,2011003,0,486,5,2,12722,2011002,
2011003,2011,气泡珊瑚鱼竿,加工@item_12723#@1#r(海边渔村有一个头顶皇冠的钓鱼高手，从他那才能获得@item_11938#),加工@item_12723#@1,4,I_12723,,1,2,2,2011001,,,,,2011004,0,488,5,2,12723,2011003,
