ID,名字,描述,获得方式
80170,Senapan Penembak Jitu Rusa Natal (3 hari),"Gunakan: Dapatkan kulit senjata selama 3 hari penggunaan. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
80171,Azure Sniper (3 hari),"Gunakan ini untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, kamu akan mendapatkan beberapa biji Mini.",
80172,Shadow Blade (3 hari),"Gunakan untuk mendapatkan Kulit selama 3 hari. Jika kulit tersebut telah terbuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
80173,Sekop Kelezatan (3 hari),"Gunakan untuk mendapatkan Kulit selama 3 hari. Jika Kulit telah terbuka secara permanen, kamu akan mendapatkan beberapa Kacang Mini.",
80174,Red Flame Dragon Heavy Machine Gun (3 hari),"Gunakan untuk mendapatkan Kulit selama 3 hari. Jika Kulit telah terbuka permanen, kamu akan mendapat beberapa Mini Kacang.",
80175,Senapan Penembak Jitu Red Dragon Abyssal (3 hari),"Gunakan untuk mendapatkan kulit selama 3 hari. Jika kulit telah dibuka secara permanen, Anda akan mendapatkan sejumlah Mini Bean.",
80176,Pedang Pembunuh Naga Xuanyuan (3 hari),"Gunakan untuk mendapatkan kulit selama 3 hari. Jika kulit telah dibuka secara permanen, kamu akan mendapatkan beberapa Mini Beans.",
80177,Giant Dragon Red Flame Axe (3 hari),"Gunakan untuk mendapatkan Kulit untuk 3 hari. Jika Kulit telah terbuka secara permanen, kamu akan mendapatkan beberapa Mini Bean.",
80178,Senapan Sniper Spirit Flame (3 hari),"Gunakan untuk memperoleh Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
80179,Revolver Starry Array (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka permanen, kamu akan mendapatkan beberapa Mini Beans.",
80180,Void Axe (3 hari),"Gunakan ini untuk mendapatkan Kulit selama 3 hari. Jika Kulit telah terbuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
80181,Golden Koi Revolver (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, kamu akan mendapatkan beberapa Mini Beans.",
80182,Duo-Koi Exploded Heavy Machine Gun (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
80183,Senapan runduk mulut Golden Koi selama 3 hari.,"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah dibuka secara permanen, kamu akan mendapatkan beberapa Mini Beans.",
80184,Golden Koi Reuni Kapak (3 hari),"Gunakan untuk mendapatkan Kulit selama 3 hari. Jika Kulit telah terbuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
80185,Palu Labu Koi (3 hari),"Gunakan untuk mendapatkan Kulit selama 3 hari. Jika Kulit telah dibuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
80186,Pedang Sirip Koi (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah berhasil dibuka permanen, kamu akan mendapatkan beberapa Mini Beans.",
80187,,,
80188,,,
80189,,,
80190,,,
80191,,,
80192,,,
80193,Bilah Pasang Surut (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80194,Sekop Gelombang (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80195,Senapan Sniper Tide Roar (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80196,Senapan Mesin Tide Fury (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80197,Kapak Perburuan Naga (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80198,Meriam Berburu Hiu (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80199,Penembak Jitu Sirip Baja (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80200,Bilah Bayangan Hiu (3 hari),"Gunakan untuk mendapatkan Skin selama 3 hari. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
80201,,,
80202,,,
80203,,,
80204,,,
80205,,,
80206,,,
80207,,,
80208,,,
80209,,,
80210,,,
80211,,,
80212,,,
80213,,,
80214,,,
80215,,,
80216,,,
80217,,,
80218,,,
80219,Pistol pasta gigi P/S(3 Hari),"Gunakan: Dapatkan skin senjata selama 3 hari. Jika Skin telah dibuka secara permanen, dapatkan Mini Beans.",
80220,Sikat gigi P/S kapak(3 Hari),"Gunakan: Dapatkan skin senjata selama 3 hari. Jika Skin telah dibuka secara permanen, dapatkan Mini Beans.",
82000,@Null@,@Null@,@Null@
82001,Pedang Keren,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82002,Krim Permen Pistol,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82003,Senapan Sniper Teh Lemon,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82004,Senapan Mesin Berat Kentang Kecil,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82005,Serangan Hot Dog Victor,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82006,Pedang Magnum,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82007,Matcha Double Rotary Pistol,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82008,Senapan Sniper Thunderbird,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82009,Senapan Mesin Berat Kentang Manis dan Asam,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82010,Senapan Mesin Ringan Thomson Hot Dog,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82011,Senapan Penembak Jitu Plum,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82012,Senapan Mesin Ringan Berawan,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82013,Senapan Mesin Ringan Beruntung,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82014,Senapan mesin ringan bersalju,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82015,Senapan Mesin Ringan Bunga Es,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82016,Pedang Keberuntungan,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82017,Pedang Permen,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82018,Pedang Tuna,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82019,Pedang Payung Salju,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82020,Senapan Kepala Naga,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82021,Senapan Penembak Jitu Beku,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82022,Senapan Penembak Jitu Es,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82023,Senapan Mesin Berat Singa,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82024,Senapan Mesin Berat Ikan Naga,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82025,Senapan Mesin Berat Ice Crusher,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82026,Senapan Mesin Berat Bony,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82027,Pistol,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82028,Revolver Harimau,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82029,Revolver Yeti,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82030,Revolver Berbintang,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",@Null@
82031,@Null@,@Null@,@Null@
82032,@Null@,@Null@,@Null@
82033,Sekop Kacang Merah Matcha,"Kegunaan: Buka Skin senjata secara permanen. Jika Skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",@Null@
82034,Daging Tomahawk,"Kegunaan: Buka Skin senjata secara permanen. Jika Skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",@Null@
82035,Bor Listrik Es Krim,"Kegunaan: Buka Skin senjata secara permanen. Jika Skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",@Null@
82036,@Null@,@Null@,@Null@
82037,@Null@,@Null@,@Null@
82038,@Null@,@Null@,@Null@
82039,@Null@,@Null@,@Null@
82040,Pistol Daun Semanggi Empat,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,@Null@
82041,Pedang Cahaya Rumah Hijau,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,@Null@
82042,Bor Elektrik Wortel,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,@Null@
82043,Gatling Bunga Matahari Tidak Terkendali,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,@Null@
82044,Senapan Mesin Berat Api Biru,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82045,Senapan Sniper Biru langit,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82046,Bor Petir,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82047,Bor Biru,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82048,besar han yingying palu,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82049,Peach jantung pedang,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82050,Senapan mesin ringan Violet,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82051,Senapan Mesin Berat Sakura,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82052,Kupu-kupu senapan sniper,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82053,Revolver Denim Bunga Kupu-kupu,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82054,Jantung panen sabit,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82055,Sekop harimau lucu,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82056,Jangkar pistol air,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82057,Kapak kemudi kapal mendominasi,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82058,Sekop shell pearlescent,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82059,Hammer Beruang Manis,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82060,Permen Pedang,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82061,Senapan Mesin Berat Gashapon,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82062,Senapan Sniper Jeli,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82063,Kapak Lolipop Salju,Penggunaan: Dapatkan skin senjata ini selama 3 hari. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82064,Pantai slide sekop,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82065,Elang Jiwa Tai Dao,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82066,Produk Terkait Wingspan Jelly Sniper Rifle,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82067,Naga Roar senapan mesin ringan,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82068,revolver Hawkeye,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82069,Api senapan mesin ringan kristal,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82070,Senapan Sniper Beku Mata Merah,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82071,Blazing Sayap Hatchet,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82072,Revolver Api Bulu Phoenix,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82073,Pedang yang mempesona dan berwarna-warni,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82074,Pickaxe berlian berwarna-warni,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82075,Senapan Mesin Berat Dazzling Star,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82076,Rainbow sekop,"Gunakan: Buka kulit senjata ini secara permanen. Jika kostum telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82077,Pedang Cahaya,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82078,Senapan Sniper Suci,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82079,Senapan Mesin Berat Crystal,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82080,Pedang Salib Sayap Cahaya,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82081,Sniper Kupu-kupu Menari,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82082,"Senapan Mesin Berat Kupu-kupu ","Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82083,Bor Cinta Kupu-kupu,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82084,Sekop Kupu-kupu,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82085,Kapak Kupu-kupu,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82086,SMG Kupu-kupu Impian,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82087,SMG Stardust,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82088,Mesin Bor Kristal,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82089,Senapan Mesin Berat Astrologi,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82090,Sekop Bulan Ganda,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82091,Sniper Lingkaran Bintang,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82092,Pedang Star Trail,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82093,Sniper Musim Panas,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82094,Senapan Berat Awan Kapas,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82095,Palu Kelinci Bulan,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82096,"Senapan Berat Kelinci ","Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82097,Sekop Istana Emas,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82098,Sniper Bulan Sabit,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82099,"Pedang Bambu Crystal ","Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82100,Arit Bambu Hijau,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82101,Sekop Raja kelelawar,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82102,Sniper Salib Darah,"Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82103,"Pedang Sayap Kelelawar ","Gunakan: Buka kunci skin senjata secara permanen. Jika Skin telah dibuka secara permanen, kamu bisa mendapatkan beberapa Mini Beans.",
82104,Pedang Busur Beruang Pink,"Kegunaan: Buka kunci skin senjata secara permanen. Jika skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
82105,Kapak Frozen Mint,"Kegunaan: Buka kunci skin senjata secara permanen. Jika skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
82106,SMG Permen Gula,"Kegunaan: Buka kunci skin senjata secara permanen. Jika skin telah dibuka secara permanen, Anda bisa mendapatkan Mini Beans.",
82107,Sekop hati bintang jahe,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82108,Ding ding ding pedang pohon natal,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82109,Senapan Mesin Ringan Permen Jarum Jam,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82110,Senapan sniper penampakan rusa,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82111,Kelinci Api Kirim Fu Submachine Gun,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82112,Beliung Kelinci Api,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82113,Petasan Selamat Datang Senapan Mesin Berat Musim Semi,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82114,Sekop Gelombang Kelinci Emas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82115,Kembang api senapan sniper Tutu,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82116,Kapak pisau lobak emas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82117,Senapan mesin ringan bunga terbang kuncup berlian,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82118,Sedikit pangsit bunga inti bubuk,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82119,Belati daun tipis sayap cicada,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82120,Revolver petasan Tahun Baru,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82121,Mengli Shengge sniper rifle,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82122,Senapan Mesin Berat Ace Emas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82123,Bit Demam Emas Uap,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82124,Pedang Jarum Jam Kekuatan Emosional,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82125,Angin peri di sekitar palu emas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82126,Senapan sniper Cuigu Xiaori,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82127,Pisau Lingyue Hongying,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82128,Kapak Awan Bulan Sabit,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82129,Sekop gelombang awan lembah,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82130,Revolver tanah suci Yuntao,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82131,Senapan Mesin Berat Resimen Seribu Xirui,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82132,Senapan Mesin Ringan Sheriff Koboi,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82133,Pisau bulan bunga matahari ungu,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82134,Senapan mesin ringan Starburst,"Kegunaan: Membuka kunci skin senjata ini secara permanen. Jika Anda sudah membuka kunci pakaian ini secara permanen, dapatkan Mini Beans.",
82135,Versi terlalu rendah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82136,Versi terlalu rendah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82137,Versi terlalu rendah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82138,Versi terlalu rendah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82139,Versi terlalu rendah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika pakaian telah dibuka secara permanen, dapatkan beberapa kacang mini.",
82140,Pedang Pasang Surut,Penggunaan: Dapatkan skin senjata ini secara permanen. Dapatkan Kacang Mini jika telah membuka kunci secara permanen.,
82141,Senapan Bulan Lautan,Penggunaan: Dapatkan skin senjata ini secara permanen. Dapatkan Kacang Mini jika telah membuka kunci secara permanen.,
82142,Sniper Air Mata Merman,Penggunaan: Dapatkan skin senjata ini secara permanen. Dapatkan Kacang Mini jika telah membuka kunci secara permanen.,
