ID,名字,描述,获得方式
200379,Ahşap dolap,Basit bir temel dolap#r #c0aba1dEşyaları saklamak için onu yere yerleştirin#n,
200380,Geçersiz Parıltı Sapı,"Void Glowshroom'un sapı. #c0aba1dçok yumuşak#n görünüyor, yani belki #c0aba1dtrambolin#n olarak kullanılabilir?",
200381,Void Glowshroom Kapağı,"Void Glowshroom'un kapağı. #c0aba1dçok yumuşak#n görünüyor, yani belki #c0aba1dtrambolin#n olarak kullanılabilir?",
200382,Geçersiz Meyve,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200383,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200384,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200385,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200386,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200387,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200388,Geçersiz Meyve Rezervi,Hiçliğin Gücünü içeren bir meyve. #c0aba1dbir girdap oluştur#n'a atın. Ancak yakındaki damlaları emmesine dikkat edin!,
200389,Geçersiz Mega Girdap Bombası,"Bir tane yapmak için birçok Hiçlik Meyvesine ihtiyaç duyulacak. #c0aba1dGücünü#n hayal etmek zor, bu yüzden dikkatli kullanın!",
200390,Geçersiz Meyve Ağacı,Void Meyve Ağacının bir bileşeni,
200391,Geçersiz Meyve Ağacı Yaprağı,Void Meyve Ağacının bir bileşeni,
200392,Hiçlik Meyve Ağacının ince bir dalı,Void Meyve Ağacının bir bileşeni,
200393,Geçersiz Meyve Ağacı Tohumu,#c0aba1dBoşluğun#n Gücünden etkilenen meyve tohumları. Onu bir çukura dikin ve bir Boş Meyve Ağacına dönüşmesine izin verin. Sadece #c0aba1ddark#n yerlerde meyve verecek,
200394,Void Campanula Tohumu,"Void Campanula'nın tohumu. Büyüme sınırı yoktur, ancak yalnızca #c0aba1ddark#n yerlere dikildiğinde çiçek açar",
200395,Geçersiz Kampanula,Hiçliğin Gücünden etkilenen Campanula. Canlılar yanlarından geçerken pistilleri ses çıkarır,
200396,Void Crowfoot Çim Tohumu,"Void Crowfoot Grass'ın tohumu. Büyüme sınırı yoktur, ancak yalnızca #c0aba1ddark#n yerlere dikildiğinde çiçek açar",
200397,Geçersiz Karga Ayağı Çimenleri,"Crowfoot Grass, Void'in Gücünden etkilenir. Yakınında çok uzun süre kalan yaratıklara saldırır",
200398,Void Limonium Sinuatum,Limonium Sinuatum Hiçliğin Gücünden etkilendi,
200399,Geçersiz Orkide,Orkide Hiçliğin Gücünden Etkilendi,
200400,Void Dracaena Çiçeği,Hiçliğin Gücünden etkilenen Dracaena Çiçeği,
200401,Hiçlik Dracaena,Dracaena Hiçliğin Gücünden etkilendi,
200402,Geçersiz Sümbül,Hiçliğin Gücünden etkilenen Sümbül,
200403,Void Tecoma Stans,"Tecoma Stans, Hiçliğin Gücünden etkilendi",
200404,Geçersiz Agav,Hiçliğin Gücünden etkilenen Agav,
200405,Geçersiz Beyaz Coco Çiçeği,Beyaz Coco Çiçeği Hiçliğin Gücünden etkileniyor,
200406,Geçersiz Yabani Gül,Yabani Gül Hiçliğin Gücünden etkilendi,
200407,Öksürük Ayağı'nı Geçersiz,Öksürük Void'in Gücünden etkileniyor,
200408,Geçersiz Ekinoks Çiçeği,Ekinoks Çiçeği Hiçliğin Gücünden etkilenir,
200409,Geçersiz Meyve Fidanı,Yakıt olarak kullanılabilir ancak çabuk yanar,
200410,Kalın Boş Meyve Ağacı,Void Meyve Ağacının bir bileşeni,
200411,Geçersiz Kristal Bloklar,Hiçliğin doğuştan Gücüne sahip bir kristal blok. Belirli yaratıkları ve bitkileri mutasyona uğratmak amacıyla kullanmak için sağ tıklayın,
200412,Geçersiz Süt,"#c0aba1dConsuming#n maksimum sağlığa geri dönme şansına sahiptir, ancak aynı zamanda ölme durumuna girme şansı da vardır, bu yüzden onu dikkatli kullanın!",Sağım döneminde Hiçlik Boynuzlu Geyik üzerinde @item_11320# kullanılarak elde edildi
200413,Void Kavun Şapkası 1,"Hiçliğin Gücünden etkilenen büyük bir kavun. Onu yok etmek, #c0aba1dhead#n üzerinde kuşanılabilen #c0aba1dsurprise#n#rPrecise Collection Drops'u elde etme şansı verir.",
200414,Void Kavun Şapkası 2,Hiçliğin Gücünden etkilenen büyük bir kavun. #c0aba1dhead#n ile donatılabilir,
200415,Void Kavun Şapkası 3,Hiçliğin Gücünden etkilenen büyük bir kavun. #c0aba1dhead#n ile donatılabilir,
200416,Void Kavun Şapkası 4,Hiçliğin Gücünden etkilenen büyük bir kavun. #c0aba1dhead#n ile donatılabilir,
200417,Hiçlik Çiçeği,Gelişmiş Yiyecek pişirmek ve boşluk yaratıklarını beslemek için kullanılabilir.,"Bu, Hiçlik Kelebeğinin bir mutasyonudur"
200418,Toprak Vuruş Tohumları,"Bu tohumları @item_100#, @item_101#, @item_104#, @item_116# bölgelerine ve karanlık ve gölgeli alanlara ekin. Bir süre sonra @item_226# hasadını yapabilirsiniz. Büyüme döneminde üzerine ışık gelmemesine dikkat edin",
200419,Perilla Tohumu,"Bu tohumları @item_100#, @item_101#, @item_104#, @item_116# bölgelerine ve karanlık ve gölgeli alanlara ekin. Bir süre sonra @item_227# hasadını yapabilirsiniz. Büyüme döneminde üzerine ışık gelmemesine dikkat edin",
200420,Kayıp Kavanoz,"Keşif sırasında geride bırakılan bir kavanoz. Onları kırarsan daha önce düşürdüğün eşyaları verirsin, hımm...",
200421,Void Kelebek Cam Şişe,Çevredeki küçük alanı aydınlatmak için yerleştirin,@item_11320# ile Hiçlik Kelebeği yakalanarak elde edildi
200422,Geçersiz Et,Hiçlik Yaratıklarının Eti. Void Carnivorous yaratıklarını beslemek ve Void Enerjilerini yenilemek için kullanılabilir,Void Creatures'ı yenerek düşürüldü
200423,Canavar Tarım Sandığı,Yeraltından bir sandık,
200424,Canavar Tarım Sandığı,Yeraltından bir sandık,
200425,Canavar Tarım Sandığı,Yeraltından bir sandık,
200426,Canavar Tarım Sandığı,Yeraltından bir sandık,
200427,Canavar Tarım Sandığı,Yeraltından bir sandık,
300000,,,
390000,masa,Sınıfa çok yakışıyor.,
390001,Sandalye,Sınıfa çok yakışıyor.,
390002,podyum,Sınıfa çok yakışıyor.,
390003,Sınıf numarası,İçeriğin ev numarası özelleştirilebilir.,
390004,avize,Yerleştirildiğinde çevreyi aydınlatır.,
390005,saat,Hareketli bir saat.,
390006,Spor sahası çiti,Spor sahası güvenlik korkuluğu.,
390007,Sınıf kapısı,Sınıf girişi için çok uygundur.,
390008,okul dolabı,Okulda kullanıma çok uygundur.,
390009,Tuval,Güzel çizim tahtası.,
390010,Küçük saksı 1,"Bunun için cüce bitkiler kullanın, bitkiler dekorasyon olarak eklenebilir",
390011,Küçük saksı 2,"Bunun için cüce bitkiler kullanın, bitkiler dekorasyon olarak eklenebilir",
390012,Ahşap çerçeveli cam pencere,Çerçeveli cam pencere.,
390013,Hafif geometrik karolar,Güzel görünümlü kampüs fayansları.,
390014,Kayısı mahkeme fayansları,Güzel görünümlü kampüs fayansları.,
390015,Mavi çizgili fayans,Güzel görünümlü kampüs fayansları.,
390016,rezerv,Güzel görünümlü kampüs fayansları.,
390017,Saf beyaz sırlı karolar,Güzel görünümlü kampüs fayansları.,
390018,rezerv,Güzel görünümlü kampüs fayansları.,
390019,rezerv,Güzel görünümlü kampüs fayansları.,
390020,rezerv,Güzel görünümlü kampüs fayansları.,
390021,rezerv,Güzel görünümlü kampüs fayansları.,
390022,Spor sahası çit kapısı,Spor sahası çitlerinde kullanıma uygundur.,
390023,Siyah mürekkep bloğu,Güzel kampüs fayansları.,
390024,Gri mürekkep bloğu,Güzel kampüs fayansları.,
390025,Mürekkep grisi tuğla,Güzel kampüs fayansları.,
390026,Mürekkep beyaz tuğlalar,Güzel kampüs fayansları.,
390027,Pirinç kağıdı bloğu,Güzel kampüs fayansları.,
525001,525001 ~ 530000 Yurtdışı sahne için ayrılmıştır,Oyun versiyonu çok düşük,
525002,Yeni yıl kart yıldızları,"Sihirli bir sayı kartı, büyük ödülün bölümüne katılmak için dördünü de toplayın!",
525003,Yeni yıl kartı şekeri,"Sihirli bir sayı kartı, büyük ödülün bölümüne katılmak için dördünü de toplayın!",
525004,Yeni yıl kart turu,"Sihirli bir sayı kartı, büyük ödülün bölümüne katılmak için dördünü de toplayın!",
525005,yeni yıl kartı,"Sihirli bir sayı kartı, büyük ödülün bölümüne katılmak için dördünü de toplayın!",
525006,Yeni Yıl Kuponu,En sevdiğiniz karakterler ve kıyafetlerle değiştirilebilen ışıltılı bir kart!,
525007,Yılbaşı piyango bileti,Kart ve Yılbaşı kartları çekebilen ışıltılı bir kart!,
525008,Katıldığınız için teşekkürler,Büyük ödülü kazanmak için 2022 'ye kadar Aydınlatma' ya katıldığınız için teşekkür ederiz.,
525009,Mini şans yumurta,Operasyonlarda ödüller değiştirilebilir,
525010,Mini kiraz çiçeği,Operasyonlarda ödüller değiştirilebilir,
525011,Mini su tabancası,Operasyonlarda ödüller değiştirilebilir,
525012,Minyatür Ramazan Lambası,Operasyonlarda ödüller değiştirilebilir,
525013,Minyatür nilüfer,Operasyonlarda ödüller değiştirilebilir,
525014,Mini Süt Çayı,Operasyonlarda ödüller değiştirilebilir,
525015,Mini Gelincik,Operasyonlarda ödüller değiştirilebilir,
525016,Mini Wayang,Operasyonlarda ödüller değiştirilebilir,
525017,Mini Guava,Operasyonlarda ödüller değiştirilebilir,
525018,Minik Hindistancevizi,Operasyonlarda ödüller değiştirilebilir,
525019,Mini Malezya zongzi,Operasyonlarda ödüller değiştirilebilir,
525020,Mini işaret,Operasyonlarda ödüller değiştirilebilir,
525021,Mini mavi-beyaz terlikler,Operasyonlarda ödüller değiştirilebilir,
525022,Mini cherimoya,Operasyonlarda ödüller değiştirilebilir,
525023,Mini fil,Operasyonlarda ödüller değiştirilebilir,
525024,Mini Şapka,Operasyonlarda ödüller değiştirilebilir,
525025,Minik çikolata topları,Operasyonlarda ödüller değiştirilebilir,
525026,Mini agave,Operasyonlarda ödüller değiştirilebilir,
525027,Mini havai fişekler,Operasyonlarda ödüller değiştirilebilir,
525028,Mini çanta,Operasyonlarda ödüller değiştirilebilir,
525029,Mini Malezya tapiri,Operasyonlarda ödüller değiştirilebilir,
525030,Mini kedi,Operasyonlarda ödüller değiştirilebilir,
525031,Minik sushi,Operasyonlarda ödüller değiştirilebilir,
525032,Mini aslan dansı,Operasyonlarda ödüller değiştirilebilir,
525033,Minyatür futbol,Operasyonlarda ödüller değiştirilebilir,
525034,Mini terlik,Operasyonlarda ödüller değiştirilebilir,
525035,Mini hindistancevizi şiş,Operasyonlarda ödüller değiştirilebilir,
525036,Minik pankekler,Operasyonlarda ödüller değiştirilebilir,
525037,minik duryan,Operasyonlarda ödüller değiştirilebilir,
525038,Mini inek,Operasyonlarda ödüller değiştirilebilir,
525039,Mini erik çiçeği,Operasyonlarda ödüller değiştirilebilir,
525040,Mini Noel çanı,Operasyonlarda ödüller değiştirilebilir,
525041,Mini Yılbaşı Zongzi,Operasyonlarda ödüller değiştirilebilir,
525042,Mini Cadılar Bayramı kabak,Operasyonlarda ödüller değiştirilebilir,
525043,Minyatür pion,Operasyonlarda ödüller değiştirilebilir,
525044,Minyatür Fener,Operasyonlarda ödüller değiştirilebilir,
525045,Mini palyaço,Operasyonlarda ödüller değiştirilebilir,
525046,Minik şekerler,Operasyonlarda ödüller değiştirilebilir,
525047,Mini sörf tahtası,Operasyonlarda ödüller değiştirilebilir,
525048,Minik hazine kutusu,Operasyonlarda ödüller değiştirilebilir,
525049,Mini şans çantası,Operasyonlarda ödüller değiştirilebilir,
525050,Dünya Kupası,Operasyonlarda ödüller değiştirilebilir,
525051,Çan,Operasyonlarda ödüller değiştirilebilir,
525052,Kutsal Yıldız Ay,Operasyonlarda ödüller değiştirilebilir,
525053,Mini mikrofon,Operasyonlarda ödüller değiştirilebilir,
525054,Mini Şimşek,Operasyonlarda ödüller değiştirilebilir,
525055,Yıldız enerjisi,Operasyonlarda ödüller değiştirilebilir,
525056,Şeker,Etkinliklerde ödüller kullanın.,
525057,Equinox Ananas,Etkinliklerde ödüller kullanın.,
525058,Yenileme öğesi,Meesla dükkanında,
525059,Savaş Sertifikası,Promosyon etkinliklerinde ödüller alınabilir,
525060,Martini Parçası,#cfa7a2fMağaza-Cilt#n. Elde etme yolları: Pazarlama etkinlikleri.,
525061,Eden Parçası,Eden Cildini Aç. #cfa7a2fMall-Skin#n'de kontrol edin. Elde etme yolları: Etkinlikler.,
525062,Parça 1-1,Operasyonel etkinliklerde ödül alın.,
525063,Parça 1-2,Operasyonel etkinliklerde ödül alın.,
525064,Parça 1-3,Operasyonel etkinliklerde ödül alın.,
525065,Parça 1-4,Operasyonel etkinliklerde ödül alın.,
525066,Parça 2-1,Operasyonel etkinliklerde ödül alın.,
525067,Parça 2-2,Operasyonel etkinliklerde ödül alın.,
525068,Parça 2-3,Operasyonel etkinliklerde ödül alın.,
525069,Parça 2-4,Operasyonel etkinliklerde ödül alın.,
525070,Parça 3-1,Operasyonel etkinliklerde ödül alın.,
525071,Parça 3-2,Operasyonel etkinliklerde ödül alın.,
525072,Parça 3-3,Operasyonel etkinliklerde ödül alın.,
525073,Parça 3-4,Mistral dükkanında.,
525074,Parça 4-1,Operasyonel etkinliklerde ödül alın.,
525075,Parça 4-2,Mistral dükkanında.,
525076,Parça 4-3,Operasyonel etkinliklerde ödül alın.,
525077,Parça 4-4,Operasyonel etkinliklerde ödül alın.,
525078,Mini kartopu adam,İşletme sırasında ödüllerinizi değiştirin.,
525079,Mini Dondurma,İşletme sırasında ödüllerinizi değiştirin.,
525080,sevgililer günü parçası,Kilidini Aç Giydirme - Valentin. #cfa7a2f Mağazasında - Giydirme #n. Alın: Operasyonel Faaliyetler Alın,
525081,Elmas parçaları,Ödüller işlemler sırasında alınabilir.,
525082,Mini çan,Ödüller işlemler sırasında alınabilir.,
525083,Boşluğun Kavunu,Etkinlikte ödülleri alın.,
525084,Kâbus Kristali,Etkinlikte ödülleri alın.,
525085,Mini Sandık,Operasyonlarda ödülleri kullanın.,
525086,Mini Kabuk,Operasyonlarda ödülleri kullanın.,
525087,Mini Buz,Operasyonlarda ödülleri kullanın.,
525088,Mini Kılıç,Operasyonlarda ödülleri kullanın.,
525089,Mini Meyve,Operasyonlarda ödülleri kullanın.,
525090,Mini Çekiç,Operasyonlarda ödülleri kullanın.,
525091,Mini Dondurma,Operasyonlarda ödülleri kullanın.,
525092,Mini Konsol,Operasyonlarda ödülleri kullanın.,
525093,Mini Süt,Operasyonlarda ödülleri kullanın.,
525094,Mini Anahtar,Operasyonlarda ödülleri kullanın.,
525095,Mini Kek,Operasyonlarda ödülleri kullanın.,
525096,Mini Sihirli Değnek,Operasyonlarda ödülleri kullanın.,
525097,Mini Kırmızı Paket,Operasyonlarda ödülleri kullanın.,
525098,Mini Yılbaşı Çorabı,Operasyonlarda ödülleri kullanın.,
525099,Mini Gökyüzü Feneri,Operasyonlarda ödülleri kullanın.,
525100,Mini Bomba,Operasyonlarda ödülleri kullanın.,
525101,Mini Patates Kızartması,Operasyonlarda ödülleri kullanın.,
525102,Mini Bazuka Mermisi,Operasyonlarda ödülleri kullanın.,
525103,Mini Kristal,Operasyonlarda ödülleri kullanın.,
525104,Mini Yeşil Kristal,Operasyonlarda ödülleri kullanın.,
525105,Mini Balon,Operasyonlarda ödülleri kullanın.,
525106,Mini Lolipop,Operasyonlarda ödülleri kullanın.,
525107,Mini Tüfek,Operasyonlarda ödülleri kullanın.,
525108,Mini Buz Şişesi,Operasyonlarda ödülleri kullanın.,
525109,Mini Meyve Suyu,Operasyonlarda ödülleri kullanın.,
525110,Mini Tavşan,Operasyonlarda ödülleri kullanın.,
525111,Mini Kiraz,Operasyonlarda ödülleri kullanın.,
525112,Mini Yıldızlar,Operasyonlarda ödülleri kullanın.,
525113,Mini Altın Yumurta,Operasyonlarda ödülleri kullanın.,
525114,Mini Baykuş,Operasyonlarda ödülleri kullanın.,
530000,525001 ~ 530000 Yurtdışı sahne için ayrılmıştır,Oyun versiyonu çok düşük,
540000,,,
540001,Pirinç Balta + Pirinç Balta,"Ağaçları daha hızlı kesebilen, iki elle kullanılmak üzere tasarlanmış bir ağaç kesme aracı.",Elde etmek için @item_150029##n kullanın
540002,Pirinç Balta + Taş Balta,"Ağaçları daha hızlı kesebilen, iki elle kullanılmak üzere tasarlanmış bir ağaç kesme aracı.",Elde etmek için @item_150029##n kullanın
540003,Pirinç Balta + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540004,Pirinç Balta + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540005,Pirinç Balta + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540006,Pirinç Balta + Titanyum Warhammer,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540007,Pirinç Balta + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540008,Pirinç Balta + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540009,Pirinç Balta + Orak Makinesi,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540010,Pirinç Balta + Enerji Kılıcı,#c0aba1dCharge#n anında belli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540011,Pirinç Balta + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540012,Pirinç Balta + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540013,Pirinç Balta + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540014,Pirinç Balta + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540015,Taş Balta + Taş Balta,"Ağaçları daha hızlı kesebilen, iki elle kullanılmak üzere tasarlanmış bir ağaç kesme aracı.",Elde etmek için @item_150029##n kullanın
540016,Taş Balta + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540017,Taş Balta + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540018,Taş Balta + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540019,Taş Balta + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540020,Taş Balta + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540021,Taş Balta + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540022,Taş Balta + Orak Makinesi,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540023,Taş Balta + Enerji Kılıcı,#c0aba1dCharge#n anında belli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540024,Taş Balta + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540025,Taş Balta + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540026,Taş Balta + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540027,Taş Balta + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540028,Mithril Balta + Pirinç Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540029,Mithril Balta + Taş Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540030,Mithril Balta + Mithril Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540031,Mithril Balta + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540032,Mithril Baltası + Chikuchiku Bangbang Çekici,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540033,Mithril Baltası + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540034,Mithril Balta + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540035,Mithril Balta + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540036,Mithril Balta + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540037,Mithril Balta + Orakçı,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540038,Mithril Balta + Enerji Kılıcı,#c0aba1dCharge#n anında belli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540039,Mithril Balta + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540040,Mithril Balta + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540041,Mithril Balta + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540042,Mithril Baltası + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540043,Titanyum Balta + Pirinç Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540044,Titanyum Balta + Taş Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540045,Titanyum Balta + Mithril Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540046,Titanyum Balta + Titanyum Balta,Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dCharge#n ve tüm ağacı parçalamak için ağaçlarda kullanın.,Elde etmek için @item_150029##n kullanın
540047,Titanyum Balta + Ahşap Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540048,Titanyum Balta + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540049,Titanyum Balta + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540050,Titanyum Balta + Titanyum Warhammer,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540051,Titanyum Balta + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
